produit_id,produit_nom,categorie,mois,annee,quantite_totale,revenu_total,profit_total
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,9,2014,9,825.174,-117.882
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,5,2014,2,241.96,33.8744
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,11,2011,4,411.332,-4.8392
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,9,2012,4,411.332,-4.8392
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,5,2011,2,290.666,27.3568
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,11,2011,6,1025.88,235.9524
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,6,2013,1,136.784,5.1294
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,12,2011,2,341.96,78.6508
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,3,2012,3,359.058,-35.9058
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,8,2011,4,155.456,-7.7728
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,9,2012,4,194.32,31.0912
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,12,2014,7,102.018,-183.6324
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,1,2013,1,48.58,7.7728
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,8,2014,3,145.74,23.3184
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,6,2014,2,77.728,-3.8864
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,6,2011,3,212.94,57.4938
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,8,2011,9,638.82,172.4814
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,9,2013,7,956.6648,-225.0976
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,11,2014,2,321.568,-16.0784
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,6,2014,3,409.9992,-96.4704
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,8,2012,3,301.47,-204.9996
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,11,2013,7,956.6648,-225.0976
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,4,2014,1,102.833,-6.049
